ministry_code,tasnif_code,english_description,dari_description,pashto_description
,"820,011","Drinking water supply in Sheberghan, Jawzjan and Takhta pule Mazar-e-Sharif (regarding account settlement of Mazar-e-Sharif and Shaberghan Takhta pul project)",تامین آب آشامیدنی شهر شبرغان، جوزجان و تخته پل مزار شریف(بابت تصفیه حساب پروژه تخته پل مزار شریف و شهر شبرغان),د شبرغان ښار ، جوزجان او د مزار شریف تخته پل د څښلو اوبو برابرول ( د مزار شریف تخته پل او شبرغان پروژو د حساب تصفیه)
,"820,018","Remaining water supply projects in 14 towns of Charikar, Qalat, Mehtar Lam, Ghazni, Gardiz, Kandahar and Jalalabad.",باقی مانده پروژه های آبرسانی 14 شهرک چاریکار، قلات، مهتر لام، غزنی، گردیز، کندهار  و جلال آباد, د ۱۴ ښارونو چاريکار، قلات، مهتر لام ، غزنی ، گردیز ، کندهار او جلال آباد د اوبو رسولو پاتي پروژه
183,"830,045",Rebuilding the internal electrical power turbine,بازسازی توربین بند برق درونته,د دورونټی د بریښنا بند د توربین بیارغونه
,"830,054","Rehabilitation, Construction, Completion and Design of Micro Hydro electric stations in Charkh district Logar and Panjshir Province",احیاء - دیزاین - ساختمان دستگاه های کوچک برق آبی و تکمیل امور باقیمانده دستگاه برق آبی ولسوالی چرخ لوگر و ولایت پنجشیر, د بریښنا د تولید د کوچنیو دستګاوو دیزاین، بیارغونه او جوړول او دلوګر ولایت د چرخ ولسوالۍ او دپنجشیر ولایت د برښنا د پاتي چاري سرته رسول 
,"830,056","Study, design and construction of Manogi power dam in Kunar province",مطالعه، دیزاین و ساختمان بند برق منوګی ولایت کنر,د کنړ ولایت د منوګی د بریښنا بند مطالعه، ډیزاین او ودانۍ جوړول
,"830,060","Reconstruction, repairing and network extension of electric dam in Chak Wardak",باسازی و ترمیم بند برق چک وردک و توسعه شبکه توزیع آن,دچک وردک دبریشنا بند بیا جورول او دبریشنا توزیع کول 
,"830,065",The project of activating electricity in five districts of Jawzjan province,پروژه فعال سازی برق پنج ولسوالی ولایت جوزجان,د جوزجان ولایت د پنځو ولسوالیو د برق فعالولو پروژه
,"830,066","Preparation, design, assembly, testing and commissioning of 220 kV transmission line from Ghazni to Kandahar",تهیه، طرح، تدارک منتاژ، آزمایش و کمیشننګ لین انتقال ۲۲۰ کیلو ولت از غزنی به کندهار,له غزني څخه تر کندهاره د ۲۲۰ کیلو ولټ مزي ، تهیه، دمنتاژ نصب کول، ډیزاین، ازمایښت او کمیشنینګ
,"830,067",Electrification Of Nimroz Province Airport Prison And Operational Reserve Battalion,,د نیمروز ولایت هوایی دگر محبس او دعملیاتی ریزف کندک ته دبرښنا رسولو پروژه 
,"830,068",Electricity Supply Project To Shalak Paraw And Pyarokhel Villages Of Logar Province,,دلوګر ولایت دشلک پراو او پیارو خیلو دکلیو د برښنا رسولو پروژه
,"830,069","Completion of Remaining Works of Sub-Stations of Qalat, Eastern of Kandahar, and Installation of SVC Sub-Station in the Eastern of Kandahar",نصب سب استیشن  در شرق قندهار و تکمیل کار باقیمانده سب استیشن در قلات مرکز ولایت زابل,د کندهار په ختیځ کې د سب ستیشن تبا سیستم نصبول او د قلات پاتې چارو بشپړول
,"830,070","Electricity Supply to District Archi, Kunuz Province.",تامین برق ولسوالی دشت ارچی ولایت کندز,د کندز ولایت دشت ارچې ولسوالۍ ته د برښنا رسولو پروژه 
,"830,071",Electricity Supply to Musa Kala District of Helmond Province,تامین برق ولسوالی موسی کلا ولایت هلمند,د هلمند ولایت موسی قلعه ولسوالی ته د برښنا رسولو پروژه
,"830,051",Power transmission project of 21 villages of Badghis province,شبکه برق رسانی به 21 قریه ولسوالی سنگ آتیش ولایت بادغیس,پروژه برق رسانی 21 قریه ولایت بادغیس 
189,"890,004",Tor Ghondi Railway Sations Building Constuction Progarm,اعمار تاسیسات استیشن خط آهن تورغندی,
,"890,006",khawaf herat Railway (4th lot)Constriction,ساختمان خط آهن قطعه چهارم خواف هرات,
,"890,014",Railways Operation and Maintenance Services,خدمات بهره برداری حفظ ومراقبت خطوط آهن,
193,"930,001",Strengthening the financial and procurement system,تقویت سیستم مالی و تدارکاتی,د مالي او تدارکاتي سیسټم پیاوړتیا
,"930,002",Building Prison Repair of Balkh Province (mention) project,اعمار تعمیر زندان ولایت بلخ ,
,"260,337",Construction of the provincial detention houses,ولایتی توقیف خونی تعمیرونه جورول,
,"260,295",Construction of Prison Buildings,اعمار تعمیرات زندان,
190,"900,001",Policy Contingency code,کود احتیاطی  پالیسی,د پالیسۍ احتیاطي کوډونه
,"900,002",Contingincy code for emergency situation,کود احتیاطی برای حالت اضطراری,د بیړني حالت لپاره احتیاطي کوډ
,"900,020",Refunding the Revenue, برای بازپرداخت عواید, د عوایدو بیا ورکړه
,"900,024",Contingency Funds for land purchase, وجوه برای خریداری زمین,د ځمکې د اخیستلو لپاره احتیاطي وجوه
,"900,036",Funds for the safety of strategic projects, وجوه برای محافظت پروژه های استراتیژیک,د استراتیژيکو پروژو د ساتنې لپاره وجوه
,"900,050",Funds for preserving and caring , وجوه  برای حفظ و مراقبت,د حفظ او مراقبت لپاره وجوه
,"900,081",Funds for Emergency and Unpredictable Expenses, وجوه برای مصارف عاجل و پیشبینی نشده,د بېړنیو او نه وړاندوینه شویو لګښتونو لپاره وجوه
,"900,008",Membership of ministries in international organizations, عضویت وزارت ها در سازمان های بین المللی , په نړیوالو سازمانونو کې د وزارتونو غړیتوب
,"900,084",Paying  previous years' debts, پرداخت مقروضیت ها سال های گذشته, د تیرو کلونو د پورونو ورکړه
,"900,085","Funds for the  non-recruited employees  of the General Directorate of Intelligence, Ministry of National Defense, Ministry of Interior Affairs and Ministry of Education for the fiscal year 1402",وجوه برای  تشکیل استخدام نه شده  سال مالی 1402  ریاست عمومی استخبارات و وزارتهای دفاع ملی، امور داخله و معارف , په 1402 مالي کال کې د استخباراتو لوی ریاست د ملي دفاع، کورنیو چارو او پوهنې وزارتونو د نه استخدام شوي تشکیل لپاره وجوه
191,"910,033",Funds for currency balance (Development),وجوه  برای توازن اسعار (انکشافی), د انکشافی اسعارو توازن لپاره وجوه
,"910,049",Development funds for provinces and districts,وجوه انکشافی برای ولایات و ولسوالیها,ولایاتو او ولسوالیو لپاره پرمختیایی وجوه
,"910,058",Funds for printing of worthy Documents ,وجوه  برای مطبعه اوراق بهادار,د بیه لرونکی سندونو  د مطبعې لپاره وجوه
,"910,066",Funds for development programs (Those income earning projects that are included in the budget document after the approval of the Ministry of Finance and the approval of the Economic Commission),وجوه برای برنامه های انکشافی  (پروژه های عایداتی که بعد از موافقه وزارت مالیه و  منظوری کمیسیون اقتصاد شامل سند بودجه میگردد ),د پرمختیایي پروګرامونو لپاره وجوه (هغه عایداتي پروژې چې د مالیې وزارت د موافقې او اقتصادي کمیسیون د منظورۍ وروسته د بودیجې سند کې شامیلیږي)
,"910,067", Paying  previous years' debts,پرداخت مقروضیت ها سال های گذشته,د تیرو کلونو د مقروضیتونو ورکړه
,"910,068",Salang Highway Renovation And Kabul – Jalalabad 2nd lane (Latah Band) Construction By Toll Plaza Contingency Code,کود احتیاط پرداخت وجوه ترمیم و بازسازی شاهراه سالنگ و اعمار سرک لین دوم کابل – جلال آباد (لته بند) توسط تولپلازا,د سالنګ د لویې لارې د ترمیم او بیارغونې او د کابل – جلال آباد دویم لین (لته بند) د تولپلازې په واسطه د جوړولو احتیاط کوډ
,090001, Policy Reserved Fund,0,د پالیسۍ خوندي فنډ
,090002, Disaster Contingency Fund,0,د ناورین بیړني فنډ
,090020,Contingency fund for financial reimbursements.,0,د مالي تادیاتو لپاره بیړني فنډ.
,"90,024",Contingency Fund for purchase of Land,0,د ځمکې پیرود لپاره د بیړني فنډ
,090036,Contingency Fund for Protection of Strategic Projects,0,د ستراتیژیکو پروژو د ساتنې لپاره بودیجه
,090050,Contingency fund for Operations and maintenance,0,د عملیاتو او ساتنې لپاره د بیړني فنډ
,090081," 
Contingency Fund For Urgent And Unpredicted Expenses",وجوه برای مصارف عاجل وپیشبینی شده,د بیړني او غیر متوقع لګښتونو لپاره د بیړني فنډ
,090082,The Budget of Departments that Have Been Removed According to the Decision of the Cabinet,بودجه ادارت که نظر به فیصله کابینه خذف گردیده اند,د هغو ادارو بودیجه چې د کابینې د پرېکړې له مخې لغوه شوې ده
,090086,Fund for printing of priced documents,,
